vehicle_count,car_count,bus_count,truck_count,motorcycle_count,hour,day_of_week,is_weekend,is_peak_hour,rain_intensity,visibility,incident_nearby,avg_speed_kmh,hour_sin,hour_cos,density_class
61,32,6,3,20,3,5,1,0,0.0488,0.9805,0,40.97,0.707107,0.707107,medium
16,9,1,0,6,10,5,1,0,0.0353,0.9748,0,54.67,0.5,-0.866025,low
68,31,9,7,21,9,5,1,1,0.1746,0.9206,0,36.98,0.707107,-0.707107,medium
19,10,2,1,6,1,1,0,0,0.0213,0.9898,0,53.98,0.258819,0.965926,low
15,8,1,1,5,3,0,0,0,0.096,0.9699,0,54.06,0.707107,0.707107,low
76,40,11,8,17,9,6,1,1,0.0005,0.9998,0,37.19,0.707107,-0.707107,medium
37,21,3,3,10,15,0,0,0,0.1166,0.9112,0,47.15,-0.707107,-0.707107,low
25,12,3,1,9,1,6,1,0,0.0776,0.9394,0,51.34,0.258819,0.965926,low
37,19,4,4,10,16,6,1,0,0.0811,0.9379,0,47.68,-0.866025,-0.5,low
51,23,6,4,18,5,6,1,0,0.1268,0.9471,0,42.8,0.965926,0.258819,medium
8,3,0,0,5,4,6,1,0,0.0025,0.9987,0,57.56,0.866025,0.5,low
23,12,3,2,6,22,0,0,0,0.0072,0.9958,0,52.99,-0.5,0.866025,low
26,12,2,2,10,3,2,0,0,0.0011,0.9995,0,52.18,0.707107,0.707107,low
36,18,3,4,11,4,4,0,0,0.1329,0.9649,0,47.21,0.866025,0.5,low
35,20,3,3,9,2,3,0,0,0.0399,0.9865,0,48.9,0.5,0.866025,low
64,34,6,6,18,6,3,0,0,0.0008,0.9996,0,40.79,1.0,0.0,medium
94,44,8,8,34,18,4,0,1,0.0366,0.9826,0,31.25,-1.0,-0.0,high
39,20,5,4,10,2,5,1,0,0.1313,0.9616,0,46.33,0.5,0.866025,low
29,15,3,1,10,4,4,0,0,0.0133,0.9952,0,51.1,0.866025,0.5,low
52,24,5,4,19,10,3,0,0,0.1161,0.9196,0,42.66,0.5,-0.866025,medium
92,44,12,10,26,17,1,0,1,0.1272,0.9411,0,30.49,-0.965926,-0.258819,high
116,60,9,5,42,8,3,0,1,0.1554,0.886,0,22.87,0.866025,-0.5,high
16,9,2,1,4,13,3,0,0,0.0435,0.9694,0,54.55,-0.258819,-0.965926,low
7,3,0,0,4,16,6,1,0,0.233,0.8686,0,54.4,-0.866025,-0.5,low
41,23,4,4,10,5,1,0,0,0.0009,0.9995,0,47.69,0.965926,0.258819,medium
133,68,12,13,40,18,0,0,1,0.1508,0.8826,0,17.84,-1.0,-0.0,high
36,17,4,3,12,14,5,1,0,0.0555,0.9699,0,48.37,-0.5,-0.866025,low
101,58,12,9,22,18,0,0,1,0.1141,0.9638,0,27.99,-1.0,-0.0,high
47,24,4,2,17,3,6,1,0,0.0316,0.9799,0,45.43,0.707107,0.707107,medium
119,55,17,9,38,9,3,0,1,0.0195,0.993,0,24.01,0.707107,-0.707107,high
53,31,7,5,10,22,1,0,0,0.2705,0.8421,0,40.04,-0.5,0.866025,medium
34,20,4,2,8,1,1,0,0,0.001,0.9993,0,49.78,0.258819,0.965926,low
8,4,0,0,4,1,6,1,0,0.0456,0.983,0,56.92,0.258819,0.965926,low
98,55,14,9,20,20,2,0,1,0.097,0.9412,0,29.15,-0.866025,0.5,high
75,42,8,8,17,19,6,1,1,0.0535,0.976,0,36.7,-0.965926,0.258819,medium
26,12,3,2,9,11,6,1,0,0.044,0.9738,0,51.54,0.258819,-0.965926,low
21,11,2,2,6,14,3,0,0,0.0008,0.9996,0,53.69,-0.5,-0.866025,low
37,21,4,3,9,5,5,1,0,0.2145,0.9255,0,45.68,0.965926,0.258819,low
62,31,7,3,21,8,5,1,1,0.0703,0.9774,0,40.35,0.866025,-0.5,medium
15,6,2,0,7,6,6,1,0,0.325,0.8937,0,50.63,1.0,0.0,low
30,16,3,2,9,0,0,0,0,0.1806,0.8683,0,48.29,0.0,1.0,low
10,5,1,0,4,4,3,0,0,0.0058,0.998,0,56.91,0.866025,0.5,low
47,25,5,4,13,21,5,1,0,0.0289,0.9891,0,45.47,-0.707107,0.707107,medium
27,12,2,2,11,3,4,0,0,0.0057,0.9986,0,51.81,0.707107,0.707107,low
87,51,9,7,20,19,5,1,1,0.0147,0.9929,0,33.68,-0.965926,0.258819,medium
7,3,0,0,4,15,4,0,0,0.0855,0.9589,0,56.62,-0.707107,-0.707107,low
23,10,2,1,10,14,0,0,0,0.0989,0.9464,0,51.62,-0.5,-0.866025,low
136,81,13,9,33,9,4,0,1,0.0947,0.9527,0,17.78,0.707107,-0.707107,high
88,51,8,7,22,8,1,0,1,0.0109,0.9944,0,33.44,0.866025,-0.5,medium
31,15,3,2,11,16,5,1,0,0.0102,0.9924,0,50.55,-0.866025,-0.5,low
44,25,4,2,13,4,3,0,0,0.0479,0.9809,0,46.08,0.866025,0.5,medium
19,8,2,1,8,2,5,1,0,0.0189,0.9955,0,54.02,0.5,0.866025,low
67,39,7,4,17,12,4,0,0,0.0229,0.9831,1,19.56,0.0,-1.0,medium
60,30,5,3,22,21,1,0,0,0.1593,0.9209,0,39.61,-0.707107,0.707107,medium
46,23,5,3,15,2,2,0,0,0.0661,0.9546,0,45.21,0.5,0.866025,medium
46,27,3,5,11,4,0,0,0,0.0087,0.994,0,46.07,0.866025,0.5,medium
38,21,4,3,10,12,6,1,0,0.0,1.0,0,48.6,0.0,-1.0,low
49,25,4,5,15,11,2,0,0,0.1337,0.9147,0,43.29,0.258819,-0.965926,medium
11,6,1,1,3,3,5,1,0,0.0685,0.9475,0,55.67,0.707107,0.707107,low
94,51,9,5,29,18,1,0,1,0.0765,0.9394,0,30.65,-1.0,-0.0,high
139,82,17,8,32,9,3,0,1,0.2902,0.8514,0,13.95,0.707107,-0.707107,high
82,43,8,4,27,8,6,1,1,0.004,0.9989,0,35.34,0.866025,-0.5,medium
34,19,3,2,10,16,4,0,0,0.0778,0.9728,0,48.63,-0.866025,-0.5,low
38,17,4,3,14,4,4,0,0,0.0001,1.0,0,48.6,0.866025,0.5,low
40,18,4,4,14,21,1,0,0,0.1925,0.9566,0,45.11,-0.707107,0.707107,medium
30,17,2,2,9,4,0,0,0,0.0322,0.9747,0,50.52,0.866025,0.5,low
10,5,0,1,4,1,0,0,0,0.0368,0.9869,0,56.45,0.258819,0.965926,low
132,72,12,12,36,20,2,0,1,0.0713,0.9844,0,19.33,-0.866025,0.5,high
130,62,18,9,41,8,1,0,1,0.0123,0.9949,0,20.82,0.866025,-0.5,high
111,61,16,8,26,17,0,0,1,0.0117,0.991,0,26.52,-0.965926,-0.258819,high
28,12,2,1,13,12,1,0,0,0.059,0.9877,0,50.71,0.0,-1.0,low
106,49,8,6,43,8,1,0,1,0.0004,0.9998,0,28.19,0.866025,-0.5,high
33,17,4,3,9,6,5,1,0,0.0689,0.9546,0,49.07,1.0,0.0,low
135,76,18,12,29,18,2,0,1,0.1978,0.9494,0,16.53,-1.0,-0.0,high
37,19,5,2,11,12,5,1,0,0.0017,0.9992,0,48.87,0.0,-1.0,low
73,36,8,5,24,20,6,1,1,0.0367,0.987,0,37.55,-0.866025,0.5,medium
34,16,4,3,11,11,5,1,0,0.0166,0.9883,0,49.55,0.258819,-0.965926,low
139,63,16,9,51,7,1,0,1,0.2823,0.9336,0,14.07,0.965926,-0.258819,high
40,20,3,2,15,1,4,0,0,0.0027,0.9989,0,47.96,0.258819,0.965926,medium
45,26,4,3,12,17,6,1,1,0.0325,0.9918,0,46.01,-0.965926,-0.258819,medium
39,21,4,3,11,16,3,0,0,0.0309,0.9807,0,47.84,-0.866025,-0.5,low
45,22,3,3,17,10,0,0,0,0.3665,0.8563,0,41.0,0.5,-0.866025,medium
22,12,2,2,6,13,1,0,0,0.0336,0.9855,0,52.9,-0.258819,-0.965926,low
45,23,3,4,15,6,6,1,0,0.0459,0.979,0,45.81,1.0,0.0,medium
34,19,4,1,10,0,0,0,0,0.1751,0.8989,0,47.17,0.0,1.0,low
53,25,4,5,19,2,3,0,0,0.0088,0.9973,0,43.97,0.5,0.866025,medium
77,35,10,4,28,17,5,1,1,0.0051,0.9971,0,36.82,-0.965926,-0.258819,medium
14,7,1,1,5,21,0,0,0,0.1268,0.9377,0,53.9,-0.707107,0.707107,low
2,1,0,0,1,15,6,1,0,0.025,0.9924,0,59.03,-0.707107,-0.707107,low
0,0,0,0,0,0,2,0,0,0.0093,0.997,0,59.86,0.0,1.0,low
127,58,16,8,45,7,0,0,1,0.0281,0.9848,0,21.48,0.965926,-0.258819,high
16,7,1,1,7,0,5,1,0,0.0014,0.9997,0,55.18,0.0,1.0,low
51,29,6,4,12,6,5,1,0,0.0288,0.9799,0,44.27,1.0,0.0,medium
120,60,10,13,37,18,1,0,1,0.0409,0.9838,0,23.39,-1.0,-0.0,high
62,34,9,3,16,5,4,0,0,0.006,0.9983,1,21.31,0.965926,0.258819,medium
55,26,5,3,21,8,5,1,1,0.0012,0.9998,0,43.48,0.866025,-0.5,medium
123,60,12,14,37,9,3,0,1,0.0744,0.9492,0,21.98,0.707107,-0.707107,high
42,19,3,4,16,12,4,0,0,0.0325,0.9832,0,46.91,0.0,-1.0,medium
120,66,14,8,32,20,0,0,1,0.226,0.8692,0,20.61,-0.866025,0.5,high
47,22,5,3,17,22,4,0,0,0.3224,0.7893,0,41.06,-0.5,0.866025,medium
124,70,15,10,29,20,4,0,1,0.0007,0.9996,0,22.79,-0.866025,0.5,high
53,25,6,5,17,0,4,0,0,0.0026,0.9984,0,44.06,0.0,1.0,medium
144,65,12,9,58,9,4,0,1,0.0556,0.9647,0,15.97,0.707107,-0.707107,high
35,19,4,2,10,3,2,0,0,0.2061,0.917,0,46.41,0.707107,0.707107,low
42,22,3,4,13,22,4,0,0,0.0005,0.9997,0,47.39,-0.5,0.866025,medium
75,38,8,4,25,18,6,1,1,0.2184,0.8336,0,34.22,-1.0,-0.0,medium
23,12,2,2,7,6,0,0,0,0.0123,0.9935,0,52.92,1.0,0.0,low
81,36,11,7,27,7,6,1,1,0.0076,0.9956,0,35.59,0.965926,-0.258819,medium
19,10,2,1,6,4,5,1,0,0.0394,0.988,0,53.71,0.866025,0.5,low
128,70,16,11,31,18,6,1,1,0.0135,0.9936,1,5.0,-1.0,-0.0,high
51,27,6,5,13,16,4,0,0,0.0015,0.9992,0,44.68,-0.866025,-0.5,medium
69,35,7,4,23,19,6,1,1,0.0035,0.9991,0,39.25,-0.965926,0.258819,medium
17,7,1,1,8,4,3,0,0,0.0314,0.9914,0,54.43,0.866025,0.5,low
60,29,7,4,20,13,6,1,0,0.025,0.9945,0,41.62,-0.258819,-0.965926,medium
94,53,13,10,18,7,6,1,1,0.1547,0.9232,0,29.48,0.965926,-0.258819,high
37,17,3,3,14,21,6,1,0,0.0176,0.9906,0,48.64,-0.707107,0.707107,low
57,31,7,5,14,19,6,1,1,0.1196,0.9611,0,41.11,-0.965926,0.258819,medium
62,31,8,6,17,6,6,1,0,0.01,0.994,0,41.25,1.0,0.0,medium
49,25,6,5,13,1,3,0,0,0.0831,0.9636,0,44.05,0.258819,0.965926,medium
20,10,2,2,6,14,0,0,0,0.0481,0.9789,0,53.28,-0.5,-0.866025,low
50,24,6,3,17,16,5,1,0,0.013,0.9928,0,44.8,-0.866025,-0.5,medium
55,25,5,6,19,11,3,0,0,0.3645,0.7358,0,38.03,0.258819,-0.965926,medium
146,69,18,17,42,20,4,0,1,0.0903,0.9565,0,14.85,-0.866025,0.5,high
34,18,3,3,10,1,1,0,0,0.0077,0.9961,0,49.68,0.258819,0.965926,low
27,12,2,2,11,6,2,0,0,0.0708,0.98,0,50.84,1.0,0.0,low
3,1,0,0,2,0,2,0,0,0.0174,0.9891,0,58.84,0.0,1.0,low
94,54,8,10,22,20,2,0,1,0.1444,0.9683,0,29.63,-0.866025,0.5,high
86,42,7,9,28,9,5,1,1,0.191,0.887,0,31.33,0.707107,-0.707107,medium
48,27,5,4,12,12,3,0,0,0.3867,0.7371,0,39.8,0.0,-1.0,medium
4,2,0,0,2,13,3,0,0,0.0092,0.9947,0,58.66,-0.258819,-0.965926,low
24,13,2,2,7,13,6,1,0,0.0575,0.9544,0,51.94,-0.258819,-0.965926,low
85,40,7,9,29,18,5,1,1,0.0012,0.9995,0,34.48,-1.0,-0.0,medium
39,19,4,2,14,4,4,0,0,0.0008,0.9995,0,48.29,0.866025,0.5,low
42,24,5,3,10,21,6,1,0,0.0612,0.9796,0,46.48,-0.707107,0.707107,medium
52,25,6,3,18,22,4,0,0,0.0121,0.9944,0,44.22,-0.5,0.866025,medium
31,18,3,2,8,14,0,0,0,0.1464,0.8991,0,48.5,-0.5,-0.866025,low
45,23,5,5,12,4,5,1,0,0.0483,0.9873,0,45.78,0.866025,0.5,medium
25,12,2,1,10,5,0,0,0,0.0716,0.9806,0,51.43,0.965926,0.258819,low
80,37,7,4,32,2,1,0,0,0.0013,0.9996,1,15.98,0.5,0.866025,medium
15,7,1,1,6,21,6,1,0,0.0314,0.9753,0,55.03,-0.707107,0.707107,low
112,59,14,9,30,7,1,0,1,0.0705,0.9619,0,25.34,0.965926,-0.258819,high
162,89,13,14,46,7,1,0,1,0.0113,0.991,1,5.0,0.965926,-0.258819,high
33,18,3,2,10,6,4,0,0,0.1169,0.9621,0,48.35,1.0,0.0,low
140,81,12,14,33,17,0,0,1,0.1512,0.9403,0,15.73,-0.965926,-0.258819,high
27,15,3,1,8,4,1,0,0,0.3783,0.9217,0,46.23,0.866025,0.5,low
112,61,9,12,30,17,4,0,1,0.0099,0.9946,0,26.25,-0.965926,-0.258819,high
39,18,4,2,15,22,3,0,0,0.2162,0.8433,0,45.06,-0.5,0.866025,low
133,70,15,11,37,17,1,0,1,0.0007,0.9995,0,20.09,-0.965926,-0.258819,high
93,43,12,8,30,19,4,0,1,0.0057,0.9968,0,32.01,-0.965926,0.258819,high
36,20,5,2,9,12,0,0,0,0.0016,0.999,0,49.18,0.0,-1.0,low
32,15,4,2,11,13,2,0,0,0.049,0.9734,0,49.66,-0.258819,-0.965926,low
63,28,5,5,25,15,2,0,0,0.1556,0.8769,0,38.77,-0.707107,-0.707107,medium
33,19,3,3,8,21,2,0,0,0.279,0.7809,0,45.92,-0.707107,0.707107,low
57,27,6,4,20,11,0,0,0,0.1626,0.9073,0,40.46,0.258819,-0.965926,medium
48,21,7,5,15,3,1,0,0,0.289,0.9107,0,41.27,0.707107,0.707107,medium
46,21,5,4,16,12,5,1,0,0.2681,0.8484,0,42.18,0.0,-1.0,medium
62,35,9,5,13,19,5,1,1,0.0283,0.9787,0,40.98,-0.965926,0.258819,medium
34,18,4,2,10,21,0,0,0,0.0015,0.9995,0,49.78,-0.707107,0.707107,low
139,75,12,13,39,17,4,0,1,0.007,0.9956,0,18.2,-0.965926,-0.258819,high
119,65,17,9,28,19,1,0,1,0.0129,0.9959,0,24.11,-0.965926,0.258819,high
25,12,2,1,10,5,6,1,0,0.0013,0.9991,0,52.48,0.965926,0.258819,low
17,7,2,1,7,11,6,1,0,0.0008,0.9995,0,54.89,0.258819,-0.965926,low
102,60,9,10,23,19,0,0,1,0.0066,0.995,0,29.3,-0.965926,0.258819,high
23,12,3,2,6,1,4,0,0,0.1473,0.9171,0,50.89,0.258819,0.965926,low
105,49,8,5,43,8,0,0,1,0.2302,0.8245,0,25.05,0.866025,-0.5,high
14,7,1,1,5,22,5,1,0,0.1698,0.9633,0,53.25,-0.5,0.866025,low
40,20,3,2,15,13,0,0,0,0.0052,0.9961,0,47.92,-0.258819,-0.965926,medium
75,33,7,5,30,5,0,0,0,0.0012,0.9993,0,37.48,0.965926,0.258819,medium
128,70,14,10,34,20,1,0,1,0.092,0.937,0,20.22,-0.866025,0.5,high
35,18,5,2,10,5,0,0,0,0.0045,0.9981,0,49.43,0.965926,0.258819,low
43,21,4,2,16,3,0,0,0,0.0422,0.9796,0,46.47,0.707107,0.707107,medium
19,9,1,1,8,6,5,1,0,0.0017,0.9996,0,54.27,1.0,0.0,low
48,26,6,4,12,11,1,0,0,0.1474,0.9179,0,43.39,0.258819,-0.965926,medium
130,60,14,9,47,9,3,0,1,0.0002,0.9999,0,21.0,0.707107,-0.707107,high
3,1,0,0,2,14,5,1,0,0.0456,0.9702,0,58.42,-0.5,-0.866025,low
22,11,2,1,8,10,1,0,0,0.0006,0.9999,0,53.39,0.5,-0.866025,low
38,21,4,4,9,11,0,0,0,0.1811,0.9624,0,45.88,0.258819,-0.965926,low
67,33,7,5,22,22,2,0,0,0.3497,0.8724,1,14.65,-0.5,0.866025,medium
29,15,3,2,9,13,6,1,0,0.0093,0.9973,0,51.16,-0.258819,-0.965926,low
56,30,7,4,15,21,5,1,0,0.0019,0.9992,0,43.17,-0.707107,0.707107,medium
35,18,4,1,12,4,2,0,0,0.0455,0.972,0,48.82,0.866025,0.5,low
84,41,11,9,23,20,5,1,1,0.007,0.9948,0,34.69,-0.866025,0.5,medium
